word,meaning
counterfoil,"(שימוש בריטי) ספח-קבלה (הנשאר בידי המשלם)"
counterplot,"לקשור קשר-נגדי"
counterwork,"ביצורים נגדיים; מפעל נגדי, עבודה או פעולה הננקטות על מנת לפעול נגד עבודה או פעולות אחרות"
counting,"ספירה, מניין"
"country seat","בית בכפר"
countrywoman,"בת-כפר; בת אותה ארץ"
"coup attempt","ניסיון הפיכה"
coupling,"זיווג"
"court of criminal assize","בית-משפט לעניינים פליליים"
court-packing,"להשפיע על הרכב השופטים או חבר המושבעים בבית משפט"
courteous,"מנומס, בעל הליכות נאות, אדיב, רוחש כבוד"
"coute que coute","בכל מחיר"
couvert,"מקום מחסה"
"cover page","עמוד שער, דף פתיחה בפקס"
"covered with","מכוסה ב-, מלא-"
coverup,"כיסוי, חיפוי"
cower,"להשתוחח; להתכווץ בפחד"
cowrite,"מחבר-שותף (של ספר או מאמר), לכתוב יחדיו, לכתוב בשיתוף פעולה עם אדם אחר"
"cpu time","זמן מחשב"
crabber,"צייד סרטנים; סירה לציד סרטנים"
"crack a joke","לספר בדיחה"
"crack up","להתמוטט; להתרסק; לצחוק; להתפצץ מצחוק; לגרום לאחר לצחוק"
crackerjack,"נהדר, מצוין"
crackup,"התמוטטות"
"cradle of civilization","ערש הציויליזציה, אזור בין נהרות הפרת והחידקל שהיה מקום לידתן של תרבויות שונות שהעבירו את העולם מתקופת הפרהיסטוריה לתקופת דברי הימים"
cram,"לדחוס; לפטם; להתפטם"
"crash a party","להתפלח למסיבה"
crawling,"זחילה"
craze,"להטריף דעת, לשגע; לסדק"
crazy,"מטורף, משוגע"
creasy,"מקומט; בעל קפלים; מלא קמטים"
"creative thinking","חשיבה יצירתית"
credentials,"כתב-האמנה; מסמכים לאימות כישוריו ויכולתיו של אדם (מכתבי המלצה)"
"credit company","חברת אשראי (חברה המעניקה אשראי באמצעות שימוש בכרטיסי האשראי שלה)"
creditableness,"אמינות (לקבלת אשראי)"
cremation,"כבשון, שריפת גווייה"
cremator,"שורף לאפר; משרפה"
crena,"שקע, שקערורית"
crenel,"חרך-ירייה, חריץ בחומה מאושנבת לירי (גם crenelle)"
"crepe de chine","קרפ-דה-שין, קרפ סיני, בד משי דק"
crewless,"נטול צוות"
cricket,"צרצר; קריקט"
cricketground,"שטח אדמה המוקצה למשחק קריקט"
crime,"פשע, חטא"
"criminal act","עוון פלילי (הפרה של חוק-העונשין שעונשה המקסימלי שלוש שנות מאסר; פשע חמור, עבירה כנגד החברה)"
criminalise,"להפוך לבלתי-חוקי; להוציא אל מחוץ לחוק, להכריז כלא-חוקי; להכריז כפושע; להפוך אדם לפושע, להתייחס לאדם כפושע (גם criminalize)"
criminologic,"של חקר פשעים, קרימינולוגי"
criminologically,"מבחינה קרימינולוגית (מבחינה פלילית)"
crippler,"מטיל מום"
crippling,"סומכות, עצים לתמיכת צדי בניין"
"crisphead lettuce","חסה עגולה, סוג חסה שעליו יוצרים צורת ראש עגול"
crit,"קריטי,ביקורתי; חשוב, גורלי"
crock,"כלי-חרס; גרוטאה; סוס מת"
"cross elasticity","גמישות צולבת (שיעור השינוי בדרישה למוצר ביחס לשיעור השינוי במחירו של מוצר אחר)"
crossfertilize,"לבצע הכלאה של; לגרום לביצוע הכלאה"
crossness,"רוגז"
"crown colony","מושבת-כתר (טריטוריה מחוץ לבריטניה שחל עליה החוק הבריטי)"
crozier,"שרביט הבישוף"
crucifixion,"צליבה"
crumble,"פירורים, פירורים קטנים; (בריטי) טוגן, תערובת של קמח וחמאה המשמשת לציפוי עליון"
crumple,"לקמט; להתקמט; למוטט"
crushable,"ניתן למעיכה"
cryoscopic,"קריוסקופי (של נקודת הקיפאון של חומרים או נוזלי גוף)"
crystal,"בדולח; גביש, קריסטל"
"cub scout","צופה צעיר בתנועת הצופים בין גיל 8 ל-11"
cubby-hole,"תא בשולחן כתיבה; כוך; מקום סגור; חור צר; מקום נוח"
"cube farm","(סלנג אמריקאי) משרד המחולק לתאי עבודה רבים אשר בכל אחד מהם יושב עובד"
cuddle,"ללטף; להצטנף"
cul,"מבוי סתום, מעבר ללא מוצא"
culottes,"חצאית מכנסיים"
"cultural attache","נספח תרבותי"
cunnilinctus,"גירוי מיני אוראלי של הנקבה"
"cup of tea","כוס תה"
cupcake,"עוגה דמוית ספלון; (אינטרנט, מחשבים) תוכנה המאפשרת למשתמש ליצור בדיסק קובץ פרופיל אישי (המכיל מידע אודותיו) הניתן לגישה ע&quot;י אתרים שונים ברשת"
cupreous,"נחושתי, המכיל נחושת, שיש בו נחושת; דמוי נחושת, של נחושת; צבע אדמדם-מתכתי"
cure-all,"מרפא לכול"
curl,"לסלסל (שיער); להסתלסל; להתלפף; להתכופף, להתקפל; לשחק במשחק הקרלינג (משחק בו קבוצות מתחרות מחליקות אבנים על משטח קרח תוך ניסיון לקלוע אל לוח מטרה)"
"currency conversion","המרת מטבע"
"current coin","מטבע עובר לסוחר, המטבע שבשימוש עכשווי"
currier,"סייס, מטפל בסוסים, מקרצף סוסים; בורסקי, מעבד עורות; מי שחובט, מי שרוקע, מי שהולם"
curvedness,"פיתוליות, התעגלות, קשתיות, עקמומיות; היות עקום, היות לא ישר"
cussword,"קללה, גידוף"
customisation,"שינוי הנעשה על מנת להתאים לצרכים אישיים, סיגול; התאמה לצרכים מוגדרים (גם customization)"
"customs and excise department","אגף המכס והבלו (אגף המטפל בגביית מכסים על יבוא ויצוא)"
"cut one's eye teeth","לדעת &quot;להסתדר&quot;, להיעשות בקי בהלכות העולם"
"cut out on someone","לא להופיע במועד, &quot;להבריז&quot;"
cutout,"מפסק חשמלי; תגזיר"
"cutting board","קרש חיתוך, לוח עץ או פלסטי עליו לותכים בשר או ירקות"
cybernetical,"קיברנטי (של קיברנטיקה, של בקרת תנועה ותקשורת)"
cyclize,"(כימיה) לעבור ציקליזציה; לגרום לציקליזציה (גם cyclise)"
"cylinder bore","קדח הצילינדר"
cylindric,"גלילי, צילינדרי"
cylindroid,"מעין גליל"
cymbals,"מצילתיים"
cymbocephaly,"מבנה גולגולת שבו המצח פחוס והעורף בולט"
cytopathogenicity,"ציטופתוגניות, הרס תאים"
"da Vinci","דה-וינצ'י, לאונרדו דה וינצ'י (1452-1519), צייר, פסל, מדען, מהנדס, ממציא, איש-אשכולות בתקופת הרנסאנס (צייר, פסל, מדען, מהנדס, ממציא), צייר את ה&quot;מונה-ליזה&quot; ואת &quot;הסעודה האחרונה&quot;"
dabber,"מי שטופח, מי שנוגע בקלות; כרית דיו"
dace,"סוג דג"
dactylion,"קצה האמה (האצבע האמצעית)"
dad,"אבא"
daemon,"שד; שטן; (במחשבים) &quot;דמון&quot;, תכנת שרת, שרת לפרוטוקול מסוים"
"daily column","טור יומי"
"daily work","עבודה יומיומית"
daisywheel,"מדפסת מניפה"
"dam breaker","פורץ סכרים"
"damn him","יימח שמו, לעזאזל אתו"
damnatory,"של קללה, של גינוי; המאיים בדין גיהינום"
dancehall,"דאנסהול, סגנון מוזיקה שפותח ע&quot;י אפרו-אמריקאים (מיזוג בין ראפ ורגיי)"
dandruff,"קשקשת, קשקשים"
dandy,"גנדרן"
dank,"לח, טחוב וקר"
dapper,"זריז, פעיל; נאה"
dapple,"לנמר"
"dark age","תקופה חשוכה (תקופה ללא התפתחות, תקופה של רגרסיה)"
"dark sky","שמים קודרים"
darken,"להחשיך; להכהות; להאפיל; להקדיר"
dart,"לזנק; להטיל, לזרוק; להתרוצץ"
darts,"חצים, משחק הטלת חצים, משחק ביתי בו מטילים חיצים ביד במטרה לקלוע קרוב ככל האפשר למרכזו של לוח המטרה על מנת להשיג כמה שיותר נקודות"
"data network","תקשורת מחשבים, תקשורת נתונים"
dauber,"מורח"
dauntlessly,"בלי מורא"
dawdle,"להתבטל, להתמזמז, לבזבז זמן"
"dawn on","להתחיל להבין; עולה על הדעת"
"day after day","מדי יום, יום אחר יום"
"day and date","יום ותאריך"
"day dream","לחלום בהקיץ"
day-dreaming,"חלומות בהקיץ, שגייה באשליות"
daysack,"תרמיל קטן, תרמיל-גב קטן"
daystar,"&quot;כוכב הבוקר&quot;, כוכב הזורח לפני זריחת השמש (בעיקר כוכב הלכת ונוס); השמש, החמה"
"dead lock","קיפאון; מבוי-סתום"
"dead march","מסע הלוויה, צעדה להובלת המת לקברו"
"dead set","התקפה מחושבת; החלטה נחושה; חוסר תנועה של כלב ציד"
deadening,"חומרים אטימים"
dear,"ביוקר"
"dear me!","אוי-לי"
deary,"יקיר; אהוב"
"death blow","מהלומה עזה, מכת-מוות"
deathly,"של מוות"
debellatio,"דבלטיו, הכנעה ודיכוי מוחלטים של מדינה זרה; עם כבוש שהתפרק שאין לו מי שיעמוד ויצהיר על זכויותיו כעם; תבוסה צבאית מוחלטת"
debye,"יחידת מידה למומנט מגנטי"
decanter,"בקבוק (ליין)"
decapitalisation,"שינוי האות הראשונה במילה מאות גדולה לקטנה; לקיחת הון (ממשהו או ממישהו); מניעת היווצרות הון (גם decapitalization)"
decapitator,"עורף ראש"
decentralisation,"ביזור, חלוקת סמכויות, דצנטרליזציה (גם decentralization)"
decentralist,"דוגל בביזור"
decided,"החלטי, ברור, פסקני"
"deciding vote","דעה מכרעת"
deciliter,"עשירית הליטר, דציליטר"
"decision-making echelon","דרג מקבלי החלטות"
"deck cabin","תא סיפון"
declaimer,"מדקלם"
"declare in","להצהיר על עצמו כמועמד"
decomposability,"אפשרות פירוק"
"decompression disease","מחלת האמודאים, מחלת הדקומפרסיה, הפרעה אותה חווים טייסים כאשר הם טסים בגובה רב או צוללנים לאחר הפחתה מהירה של לחץ אוויר (המחלה מתבטאת בכאבי פרקים, פגיעות בעור, קשיי נשימה וסימנים נוירולוגים)"
decontaminator,"מטהר"
decrescendo,"דה-קרשצ'נדו (במוסיקה-לגבי צליל:בצורה הולכת ורפה)"
"deeply hurt","נפגע עד עמקי נשמתו"
deergrass,"סוג של עשב תבלין רב-שנתי"
default,"להשתמט, לא להופיע; לחזור לברירת המחדל"
"defeat a motion","להפיל הצעת חוק"
defeatism,"תבוסתנות"
defeatist,"תבוסתני, תבוסתן, נכנע לכישלון או לתבוסה"
defect,"פגם, חסרון, דפקט"
defeminize,"לשלול נשיות, להוריד סממנים נשיים; להסיר שחלות"
"defended himself","הגן על עצמו, התגונן"
defenselessly,"ללא מגן, ללא הגנה"
"defensive war","מלחמת מגן"
deficit,"חוסר; גירעון, דפיציט"
deflexed,"נוטה לצד; כפוף כלפי מטה; כפוף כלפי חוץ; סוטה"
defluxion,"הפרשת נוזלים מוגברת"
"degrees centigrade","מעלות צלסיוס"
dehumidify,"להסיר לחות"
dehypnotise,"להוציא מהיפנוזה"
"delinquency ratio","יחס פיגורים (בכלכלה, יחס בין חובות או מסים שפרעונם עבר לבין סך כל החובות של חברה)"
deliquesce,"להפוך לנוזל"
demagnetisation,"דמגנטיזציה, ביטול או הסרת תכונות מגנטיות (גם demagnetization)"
demarcator,"תוחם"
demean,"להשפיל; להתנהג"
"demean oneself","להשפיל את עצמך, לעשות משהו שמתחת לכבודך"
dementedly,"בטירוף"
demential,"(רפואה) קהיוני, דמנטי, של דמנציה, הקשור לשיטיון"
"demise of the feudal system","שקיעת המשטר הפיאודלי"
demobee,"המשוחרר משירות צבאי"
demobilise,"לשחרר מהצבא; לפרק צבא (גם demobilize)"
"democratic government","ממשלה דמוקרטית, ממשלה המופעלת על ידי האנשים במדינה; דמוקרטיה"
democratise,"להפוך לדמוקרטיה, להקנות ערכים דמוקרטיים; לבצע רפורמות דמוקרטיות (גם democratize)"
demonomania,"דמונומניה, אשלייה או אמונה שאתה אחוז-דיבוק או נשלט על ידי שטן או רוחות רעות"
demoralize,"[de·mor·al·ize || dɪ'mɒrəlaɪz]<br>לייאש, לגרום ייאוש, לדכא, לדכדך (גם demoralise)"
demoralized,"מיואש, נואש, מאוכזב, חסר תקווה, חסר אמון, מוותר, מרים ידיים; משוחד, מושפל"
dendrologic,"דנדרולוגי (של תורת העצים והשיחים בבוטניקה)"
"dense crowd","קהל צפוף"
densitometry,"מדידת צפיפות"
"dental clinic","מרפאת-שיניים"
"dental treatment","טיפול שיניים"
dentalgia,"כאב שיניים"
dentifrice,"משחת שיניים"
denunciate,"לגנות, להוקיע"
deoxyribose,"דאוקסיריבוז (בכימיה-חד סוכר המצוי בדנ&quot;א)"
"depend on","להיות תלוי ב-; לבטוח ב-"
depigmentation,"ביטול פיגמנטיות, דפיגמנטציה"
deposer,"מעיד; מדיח"
depositing,"הפקדה"
deposits,"חומרים שאינם מתמוססים בשמן הנוצרים כתוצאה מחמצון ופירוק שמן-סיכה ומזיהום ממקורות חיצוניים (חומרים אלו עלולים להידבק לחלקי מכונות או חלקי מנוע)"
"depreciation of rates","ירידת שערים"
deration,"הורדת שיעור מסים (באנגליה)"
dermatitis,"דלקת עור"
dermographism,"דרמוגרפיזם (ברפואה-מצב שבו נגיעה או שריטה בעור גורמת להופעת סימנים אדומים)"
descender,"יורד, אדם או דבר מה שיורד; צאצא; אות שחלק ממנה יורד מתחת לשורה; חלק האות שמתחת לשורה (דוגמה: ך, ק, ף, ץ)"
desiccator,"יבש, מייבש (מזון)"
designs,"תוכניות זדוניות"
desorb,"להוציא חומר ספוג מן החומר שאליו נספג"
despatch,"שיגור; שדר; יעילות"
destitutely,"בחוסר-כול"
"destructive fire","אש השמדה (אש כבדה שמטרתה חיסול האויב ופגיעה באמצעי לחימתו)"
detectible,"שאפשר לגלותו"
"detective agency","משרד חקירות"
"detention on remand","הארכת מעצר"
determine,"להחליט, לקבוע"
"detonate a mine","לפוצץ מוקש"
detoxicant,"מסלק רעלים, חומר לגמילה מהתמכרות (לסמים או אלכוהול)"
detractory,"משפיל, מבזה, נותן דופי"
detrital,"של עיי חרבות"
devastate,"להרוס, להחריב"
devastatingly,"בצורה הרסנית"
deviational,"סוטה, חורג"
devil,"להציק, לענות"
"devil among the tailors","קטטה, מריבה"
"devil take the hindmost","על כל אחד לדאוג לעצמו; האחרון מפסיד"
"devil's food cake","עוגת שוקולד"
devoid,"נעדר-, חסר; ריק"
"devoid of content","ריק מתוכן"
"devote one's life to","להקדיש את החיים ל-"
"diachronic linguistics","בלשנות דיאכרונית (חקר הלשון והשתנותה לאורך ההיסטוריה)"
"diagnostics program","תכנית אבחון, תכנית לאבחון תקלות"
"dial telephone","טלפון חוגה"
"dialing tone","צליל חיוג"
diamantine,"מורכב מיהלומים; דומה ליהלומים"
"diamond cut diamond","&quot;ברזל בברזל יחד&quot;, יריבים שקולים, מתמודדים שווה כוחות"
"diamond field","שדה יהלומים"
"diamond of the first water","יהלום ממדרגה ראשונה, יהלום סוג א'; אדם דגול, אדם בעל מידות"
diamondback,"גב בדוגמת מעויינים (אצל נחשים, צבים וסוגי עש שונים)"
diaphragmatic,"סרעפתי"
diathetic,"של עלילות, של נטייה לחולי (ברפואה)"
"dictionary definition","הגדרה מילונית"
dictograph,"דיקטוגרף, מכשיר טלפוני בעל משדר רגיש ביותר (משמש כמכשיר האזנה)"
"did his fingernails","עשה את ציפורניו, עשה מניקור"
"did the shopping","עשה קניות"
"did time","ישב בכלא"
"didn't work out","לא הלך, לא הצליח , לא עבד"
"die hard","להפסיק באיטיות לאחר מאבק; להתמיד, להמשיך"
"diesel motor","מנוע דיזל (סוג מנוע הפועל על דלק כבד)"
dietetic,"תזונתי, דיאטטי"
dietetically,"באמצעות דיאטה, ע&quot;י דיאטה; בצורה דיאטתית, באופן דיאטתי"
dietitian,"דיאטן, תזונאי"
"differential geometry","גיאומטריה דיפרנציאלית"
"difficult question","שאלה קשה"
diffract,"לשבור (קרן אור)"
"dig around","לחפור מסביב"
"dig up","לגלות"
digester,"מעכל; תרופה לעיכול; מזון קל לעיכול"
digestif,"אפטר, דיז'סטיף, משקה אלכוהולי שנהוג לשתות עם תום הארוחה"
digestion,"עיכול"
digestive,"עיכולי"
"digital pathogen","(מחשבים) פתוגן דיגיטלי, תולעת או וירוס מחשבים או תוכנה אחרת המזיקים למחשבים או לרשתות תקשורת או לרכיבי חמרה אלקטרוניים"
"digital watch","שעון דיגיטלי"
digitisation,"המרת מידע אנלוגי למידע דיגיטלי, שמירה בצורה דיגיטלית (גם digitization)"
dihedral,"זווית דו-מישורית"
dilly,"(סלנג) דבר מיוחד במינו; אדם יוצא דופן, אדם מיוחד במינו"
"dilly dally","(סלנג) לדחות (לזמן מאוחר יותר); להתבטל, &quot;להתמזמז&quot;, לבזבז זמן, לשוטט באפס-מעשה"
ding,"צלצול, רעש צלצול; (שימוש אמריקאי) גומה, פגיעה, חריץ; (שימוש אוסטרלי) מסיבה, חגיגה; (סלנג אוסטרלי מעליב) יווני או איטלקי; אדם שמוצאו יווני או איטלקי"
dingbat,"דבר, חפץ"
dinkey,"דינקי, קטר קטן"
"dinner wagon","קרון-מסעדה ברכבת"
dioptrics,"דיאופטיקה, ענף של מדע האופטיקה החוקר את שבירת האור דרך עדשות"
dioxin,"דיוקסין (פחמימן המשמש לתעשיות שונות)"
"dip into a book","לקרוא ספר בשטחיות"
"dip the flag","להנמיך את הדגל ולהעלותו תיכף"
diphthong,"דו-תנועה, דיפטונג"
dipterous,"דו-כנפי; שייך לסדרת החרקים הזבוביים כפולי כנף"
"direct mail","דואר ישיר, שיטת שיווק של משלוח פרסום ישירות אל לקוחות פוטנציאליים; חומר הנשלח באופן ישיר אל לקוחות פוטנציאליים כשיטת פרסום"
directorship,"הנהלה"
"dirty joke","בדיחה גסה"
"disability clause","{בפוליסת ביטוח:} סעיף נכות"
disagreeableness,"אי-נעימות, נרגנות"
disallow,"לאסור, לפסול, לדחות"
disappointed,"מאוכזב"
disbelievingly,"בחוסר אמון, בחשדנות, באופן לא מאמין"
discant,"לשיר; ליצור הרמוניה"
discern,"להבחין, לראות"
discernible,"שניתן להבחין בו, ניכר"
discernibly,"בהבחנה; באופן שניתן להבחין בו, באופן שניתן לזהותו כשונה"
disclaimer,"כתב-ויתור"
discloser,"מגלה, חושף"
discommend,"להאשים; להביע מורת-רוח, להביע אי שביעות-רצון"
disconcerted,"מבולבל, נבוך, מסובך"
discontented,"לא-מרוצה, נרגן"
discounter,"נותן הנחה"
"discriminated against","מופלה לרעה, מקופח"
"discussion group","קבוצת דיון, קבוצת דיון בנושא מסוים, פורום (גם באינטרנט)"
disembarkment,"נחיתה; ירידה ממטוס; ירידה מאוניה"
disembogue,"להשתפך או להיפלט אל הים; להגיח"
disfigurer,"משחית צורה, מכער"
disguised,"חבוי, סמוי, כמוס; נסתר; מוסווה"
disheartening,"מרפה-ידיים, מייאש, מדכא, מרתיע"
dishevel,"לפרוע, לסתור (שער)"
dishorn,"להסיר קרניים (של חיה)"
dishrag,"מטלית-כלים"
disinclination,"חוסר-נטייה"
disinhibition,"דיסאינהיביציה, ביטול עכבה (בפסיכולוגיה)"
disintoxication,"ביטול השפעת רעל"
"disjunctive conjunction","{בדקדוק:} מילת ברירה"
diskette,"דיסקט (תקליטון גמיש לאחסון נתונים במחשב)"
dismantling,"פירוק, הסרה; פעולת פירוק"
dismissive,"זלזלני, חסר יראת כבוד, חסר עניין"
dismountable,"שניתן לרדת ממנו; בר-הורדה"
disordered,"מבולבל, מופרע"
disorganised,"מבולבל, מופרע"
disorient,"לבלבל, לגרום לאיבוד חוש התמצאות"
disorientated,"מבולבל"
"dispersing lens","עדשה קעורה, עדשה מפזרת"
displayable,"בר-תצוגה"
"displayed courage","הפגין אומץ-לב"
disproven,"מופרך, שהוכח כשגוי, שאי נכונותו הוכחה"
disrecommend,"(בלשון לא פרומלית) לא להמליץ, לא לייעץ, לא לתמוך"
disrepair,"עזובה"
dissatisfaction,"מורת רוח, אי-שביעות-רצון"
"dissolve marriage","לבטל נישואין"
dissuader,"מניא"
distrait,"מפוזר, מבולבל"
distraught,"מבולבל, מטורף"
"distressed youth","נוער מצוקה"
distressingly,"באופן מצער, בצורה מכאיבה"
"distributed data processing","עיבוד נתונים מבוזר (מערכת ממוחשבת שחלקיה נמצאים באתרים שונים)"
distributer,"מחלק, מפיץ"
disturber,"מפריע, מפר סדר"
disturbingly,"בצורה טורדנית; באופן מדאיג"
disulfate,"דו-גופרה"
"dive bombing","הפצצת צלילה, הפצצה שמתבצעת ממטוס הצולל אל המטרה"
divergently,"תוך הסתעפות"
"divert one's attention","להסיח את הדעת"
"divide and conquer","הפרד ומשול, להפריד על מנת להיטיב למשול, לשמור על אויב או על עם מפורד לקבוצות קטנות על מנת לשלוט בו ולמנוע התנגדות יעילה, לנצח על ידי גרימת סכסוכים אצל היריב"
"divide and rule","הפרד ומשול"
dividers,"מחוגת מדידה, מחוגת עוקצים (הנדסה)"
"dividing line","קו מפריד"
divinely,"בצורה נפלאה; כדבר מקודש"
"divulging secrets of state","גילוי סודות מדינה, מסירת סודות מדינה לאויב; בגידה במדינה; הדלפת מידע"
"do as you will","עשה כרצונך"
dobbin,"סוס משא, סוס עבודה"
"docosahexaenoic acid","DHA, חומצה שומנית חיונית החשובה להתפתחות תינוקות ובמיוחד להתפתחות העיניים והמוח; חומצת שומן מסוג אומגה-3 הנמצאת בטונה ובדג כחול"
"doesn't want to","לא רוצה"
dogate,"לשכתו של דוג'ה (אציל בוונציה העתיקה)"
doggerel,"חרזנות מבדחת"
dogship,"ייחודיותו של כלב, אופיו של כלב"
"doing nothing","באפס מעשה , בחיבוק ידיים"
"doing well","מצליח, הולך לו"
dolichocephalism,"ראש ארוך"
dolichocephalous,"של ראש ארוך"
dolichocranial,"של גולגולת מוארכת"
dolomite,"דולומיט (מחצב)"
dolorimetric,"דולורימטרי (של מדידת רגישות לכאב הנגרם מחום)"
"domestic animal","חית-בית"
"domestic poultry","עופות בית"
domestication,"ביות"
dominator,"מושל, שליט, בעל סמכות"
done,"עשוי, גמור"
donjon,"&quot;צריח&quot;, צינוק, כלא תת-קרקעי; צריח מבוצר ראשי של טירה בימי הביניםם (גרסה מוקדמת של המילה dungeon )"
doodad,"קישוט, אבזר"
"door lock","מנעול הדלת"
"door peephole","חור הצצה של הדלת"
"door prize","כרטיס כניסה שמספרו יוגרל במשך הערב"
doorjamb,"מזוזה (דופן הדלת, משקוף צד, עמוד צד בסף הבית)"
doorstep,"למכור מדלת לדלת; (סלנג בריטי) לחכות מחוץ לביתו של אדם על מנת לראיין או לצלם אותו (בד&quot;כ עיתונאים עושים זאת)"
doozie,"משהו נהדר ומדהים, משהו מיוחד, משהו יוצא דופן מסוגו"
doozy,"משהו נהדר ומדהים, משהו מיוחד, משהו יוצא דופן מסוגו"
dorsad,"כלפי הגב, לכיוון הגב"
dorsoventrally,"כלפי הגב והבטן, בצורה גבית-בטנית"
dotter,"מנקד"
"double cross","להונות"
"double first","מצטיין בשני מקצועות באוניברסיטה (בבריטניה)"
"double lock","לנעול במנעול כפול"
"double personality","אישיות כפולה, אישיות מפוצלת, הפרעת אישיות שבה האדם מתחלק לשתי ישויות נפרדות ועצמאיות"
"double speed","מהירות כפולה"
"double tongued","דו-פרצופי, צבוע; לא נאמן"
doubleclick,"ללחוץ לחיצה כפולה, ללחוץ לחיצה על לחצן העכבר פעמיים ברציפות"
douche,"מקלחת"
doughy,"בצקי, רך"
downcomer,"צינור או מעבר להזרמת נוזלים למטה"
downer,"מאורע מדכא; סם מדכא"
download,"&quot;להוריד&quot; קבצים (להעתיק קבצים ממחשב מרוחק באמצעות מודם)"
"downside trend","מגמת ירידה (ירידה הדרגתית בשערי המניות)"
downstairs,"למטה, הנמצא בקומה נמוכה יותר"
"downward path","מסלול יורד"
doxepin,"דוקספין, חומר שומני המשמש כתרופה נגד כאבים ונגד דיכאון (לבני אדם) ונגד גירוד (לבעלי חיים)"
drab,"חדגוני"
dracaena,"דרקונית, סוג של צמח-נוי ממשפחת השושניים"
drachm,"דרכמה (המטבע היווני)"
"draft dodger","משתמט, מתחמק מגיוס, אדם המשתמט או המנסה להתחמק בשירותו הצבאי החובה (בלשון דיבורית)"
draftily,"כרוח פרצים"
"drag into the mire","להכפיש, &quot;ללכלך&quot;"
dragger,"גורר"
"drain dry","לרוקן לגמרי {בשתייה}"
"drain off","לשאוב נוזל מ-"
draining,"בעל השפעה מתישה או מעייפת"
drainpipe,"צינור ניקוז; גישמה"
"dram shop","מונח משפטי בשימוש בארה&quot;ב לבר או למסבאה"
dramatically,"באופן דרמטי, בצורה דרמטית"
dramatics,"דרמה, דרמטיות"
"draw one's last breath","להפיח נשמה, למות"
"drawing table","שולחן סרטוט"
"drawn out","נמשך לאורך זמן יותר מהרגיל; שמתמשך באופן מתיש; מתמשך"
"dream up","להמציא"
dresser,"לובש; שולחן טואלט"
dressy,"גנדרן, מגונדר"
driller,"קודח; מקדח; מתרגל; זורע בתלמים"
"drink down","לשתות לגמרי; ללגום במהירות"
drinking,"שתייה"
"drinking fountain","ברזייה"
"driver training course","השתלמות נהיגה"
"drop a dime","&quot;שלשל אסימון&quot;, לטלפן באמצעות טלפון ציבורי; להסגיר מישהו למשטרה; להלשין; ליידע את המשטרה אודות פשע"
"dropout percentage","אחוזי נשירה"
dropping,"הפלה, מפולת; נפילה, ירידה; הולך ופוחת; משהו שנפל"
"dropping to zero","ירידה לאפס"
"drunk like a fish","שיכור כלוט"
dry-eyed,"יבש-עיניים"
dry-farm,"לגדל משק-בעל"
drypoint,"תחריט, חריטה ללא השימוש בחומצה"
dubbing,"דיבוב"
duckpin,"בובה במשחק דמוי כדורת"
ducky,"(סלנג בריטי) אדם אהוב; אהוב; חמודי, מותק"
"duel of giants","קרב ענקים"
duelling,"ךחימה בדו-קרב"
duh,"(סלנג) דה!, &quot;בחיי!&quot;, &quot;מה אתה אומר!&quot; (קריאת לגלוג)"
dukes,"אגרופים (סלנג)"
dum-dum,"(סלנג) טיפש, שוטה, אוויל, כסיל, דביל"
"dumb waiter","מגש מסתובב; שולחן אוכל מסתובב; מעלית מזון"
"dunce cap","מגבעת שוטים {כובע בצורת חרוט ששמים על ראש תלמיד לא יוצלח}"
dungy,"מלוכלך, מטונף; מלא זבל פרות; נתעב"
dunite,"דוניט, סלע מגמטי מחוספס שצבעו צהבהב ירוק המורכב בעיקר מהמינרל אוליבין"
"duodenal ulcer","כיב תריסריון"
duopoly,"(כלכלה) שוק הנשלט בלעדית ע&quot;י שני מוכרים או קונים; מצב בו שני גופים פוליטיים חולקים השפעה"
"duplex house","בית דו-משפחתי"
"during the past week","במשך השבוע שעבר"
dustbowl,"שטח החשוף לסופות אבק"
"duty officer","קצין תורן"
dwarfish,"גמדי, ננסי, קטנטן"
"dye house","מצבעה, בית-מלאכה לצביעת בגדים"
dyeing,"מת, גוסס"
dying,"גוסס, מת, גווע, של מיתה, של או השייך למוות; מתקרב למוות; המתרחש מייד לפני המוות; סוף, מתקרב לסוף"
dynamitic,"השייך לדינמיט"
dysbarism,"דיסבאריזם, הבדל בין הלחץ האטמוספרי ללחץ הגזים בגוף"
dysentery,"בורדם, דיזנטריה"
dysmenorrheal,"של כאבי וסת"
dyspeptic,"דיספפטי, של הפרעה בעיכול"
dyspeptically,"ע&quot;י ליקוי בעיכול"
dysphasic,"דיספאזי, של דיספאזיה (ליקוי בדיבור ובהבנת שפה)"
dysrhythmic,"של דיסריתמיה, של הפרעת קצב גלי המוח"
"décolleté","מחשוף (אזור החזה של אישה)"
"e'en","(קיצור של:) אפילו"
e-book,"ספר אלקטרוני, ספר הנשמר באופן אלקטרוני ולא מודפס על גבי נייר (ניתן לקרוא בו על גבי צג מחשב או באמצעות ציוד דיגיטלי אחר)"
"each of us","כל אחד מאתנו"
eagerness,"להיטות"
earflap,"כיסוי אוזן (המחובר לכובע)"
"earflap hat","כובע בעל כיסויי אוזניים"
earliness,"מוקדמות (ניקוד: ו' פעמיים שבורוק)"
earshot,"טווח שמיעה"
earthly,"ארצי"
easing,"הקלה, הפגה"
